isbn,id,authors,timestamp,publisher,title,cover,series,tags,languages
"","75","А.Скромницкий","2014-04-24T12:15:59+03:00","","Педро де Сьеса де Леон","T:\ports\PortableApps\Calibre Portable\Calibre Library\A.Skromnitskii\Piedro die S'iesa die Lieon (75)\cover.jpg","","Хроника Перу. Часть первая, Хроника Перу, Педро Сьеса де Леон, Сьеса де Леон, Инки, Южная Америки, история, география, картофель, ананас, авокадо, квиноа, кокаиновый куст, перуанский перец, сассапариль, гуава, питайя, звёздное яблоко и животные — викунья, лама, гуанако, альпака, мор",""
"0488120020","76","<C0E4ECE8EDE8F1F2F0E0F2EEF0>","2014-04-24T12:16:02+03:00","","()","T:\ports\PortableApps\Calibre Portable\Calibre Library\_C0E4ECE8EDE8F1F2F0E0F2EEF0_\() (76)\cover.jpg","","",""
"","77","Джеймс Эдвард Гордон","2014-05-05T23:29:41+03:00","","Почему мы не проваливаемся сквозь пол","T:\ports\PortableApps\Calibre Portable\Calibre Library\Dzhieims Edvard Gordon\Pochiemu my nie provalivaiemsia skvo (77)\cover.jpg","","sci_build","rus"
"","78","Гилберт Кийт Честертон","2014-05-15T13:01:35+03:00","Амфора","Человек, который был четвергом","","","prose_classic","rus"
"","79","Гилберт Кийт Честертон","2014-05-15T14:34:20+03:00","","Еретики","T:\ports\PortableApps\Calibre Portable\Calibre Library\Gilbiert Kiit Chiestierton\Ierietiki (79)\cover.jpg","","nonf_publicism","rus"
"","80","dert","2014-05-20T11:34:25+03:00","","Microsoft Word - full.rtf","","","antique","eng"
"978-5-9739-0162-2","81","Ханна Арендт","2014-05-20T11:35:43+03:00","Европа","Эйхман в Иерусалиме. Банальность зла","T:\ports\PortableApps\Calibre Portable\Calibre Library\Khanna Ariendt\Eikhman v Iierusalimie. Banal'nost'  (81)\cover.jpg","Холокост","nonf_publicism","rus"
"","82","Сергей Галёнкин","2014-06-24T11:49:24+03:00","Сергей Галёнкин","Маркетинг игр","T:\ports\PortableApps\Calibre Portable\Calibre Library\Sierghiei Galionkin\Markietingh ighr (82)\cover.jpg","","","rus"
"","83","Эрик Сигал","2014-06-24T23:22:21+03:00","","История любви","T:\ports\PortableApps\Calibre Portable\Calibre Library\Erik Sighal\Istoriia liubvi (83)\cover.jpg","История любви","prose_contemporary","rus"
"9781449373313","84","Mike Crittenden","2014-07-10T22:01:15+03:00","O’Reilly Media, Inc.","Responsive Theming for Drupal","T:\ports\PortableApps\Calibre Portable\Calibre Library\Mike Crittenden\Responsive Theming for Drupal (84)\cover.jpg","","","eng"
"5-280-03161-5","85","Варлам Тихонович Шаламов","2014-07-18T13:17:31+03:00","Вагриус, Художественная литература","Колымские рассказы","T:\ports\PortableApps\Calibre Portable\Calibre Library\Varlam Tikhonovich Shalamov\Kolymskiie rasskazy (85)\cover.jpg","Колымские рассказы","prose_rus_classic","rus"
"","86","А.И. Солженицын","2014-07-18T13:36:19+03:00","«У–Фактория»","Архипелаг ГУЛаг","","","religion_rel","rus"
"","87","Говард Филлипс Лавкрафт","2014-08-03T23:56:45+03:00","","Зов Ктулху","T:\ports\PortableApps\Calibre Portable\Calibre Library\Govard Fillips Lavkraft\Zov Ktulkhu (87)\cover.jpg","","sf_horror","rus"
"","88","Говард Филипс Лавкрафт","2014-08-05T00:15:12+03:00","","Сомнамбулический поиск неведомого Кадата","","","sf","rus"
"","89","Говард Лавкрафт","2014-08-05T00:15:13+03:00","","Дагон","","","sf_horror","rus"
"","90","Говард Филлипс Лавкрафт","2014-08-05T00:15:13+03:00","","Хребты Безумия","T:\ports\PortableApps\Calibre Portable\Calibre Library\Govard Fillips Lavkraft\Khriebty Biezumiia (90)\cover.jpg","Necronomicon","sf_horror, sf_fantasy","rus"
"","91","Говард Филлипс Лавкрафт","2014-08-05T00:15:14+03:00","","Цвет из иных миров","T:\ports\PortableApps\Calibre Portable\Calibre Library\Govard Fillips Lavkraft\Tsviet iz inykh mirov (91)\cover.jpg","","short_story","rus"
"","92","Говард Филлипс Лавкрафт","2014-08-05T00:15:14+03:00","","Герберт Уэст — реаниматор","","","sf_horror","rus"
"","93","Говард Филлипс Лавкрафт","2014-08-05T00:15:15+03:00","","Тень над Иннсмутом","T:\ports\PortableApps\Calibre Portable\Calibre Library\Govard Fillips Lavkraft\Tien' nad Innsmutom (93)\cover.jpg","","sf_horror","eng"
"","94","Натаниель Готорн","2014-08-09T16:38:52+03:00","© Государственное издательство «Художественная литература».","Алая буква","T:\ports\PortableApps\Calibre Portable\Calibre Library\Nataniiel' Gotorn\Alaia bukva (94)\cover.jpg","","prose_classic","rus"
"5-7516-0495-4","95","Анна Франк.","2014-08-24T21:34:28+03:00","«Текст»","Убежище. Дневник в письмах: 12 июня 1942 - 1 августа 1944","T:\ports\PortableApps\Calibre Portable\Calibre Library\Anna Frank_\Ubiezhishchie. Dnievnik v pis'makh_  (95)\cover.jpg","","nonf_biography","rus"
"5-87334-113-3","96","К С Станиславский","2014-08-25T13:33:22+03:00","Артист. Режиссер. Театр","Работа актера над собой","T:\ports\PortableApps\Calibre Portable\Calibre Library\K S Stanislavskii\Rabota aktiera nad soboi (96)\cover.jpg","","design","rus"
"5-17-007733-5","97","Уильям Шекспир","2014-08-28T21:41:59+03:00","АСТ","Перикл","T:\ports\PortableApps\Calibre Portable\Calibre Library\Uil'iam Shiekspir\Pierikl (97)\cover.jpg","","dramaturgy","rus"
"","99","Уильям Шекспир","2014-08-28T21:42:04+03:00","Искусство","Макбет","","","dramaturgy","rus"
"","100","Уильям Шекспир","2014-08-31T13:58:42+03:00","Изд.: ПСС в 8 томах","Гамлет, принц датский (пер. Б. Пастернака)","T:\ports\PortableApps\Calibre Portable\Calibre Library\Uil'iam Shiekspir\Gamliet, prints datskii (pier. B. P (100)\cover.jpg","","prose_classic, poetry","rus"
"","101","Марк Твен","2014-09-02T13:24:07+03:00","Художественная литература","Как я редактировал сельскохозяйственную газету","T:\ports\PortableApps\Calibre Portable\Calibre Library\Mark Tvien\Kak ia riedaktiroval siel'skokhozia (101)\cover.jpg","","prose_classic","rus"
"","102","Йохен фон Ланг","2014-09-04T16:43:18+03:00","Текст","Протоколы Эйхмана.Записи допросов в Израиле","T:\ports\PortableApps\Calibre Portable\Calibre Library\Iokhien fon Langh\Protokoly Eikhmana.Zapisi doprosov  (102)\cover.jpg","","nonfiction","rus"
